武侯祠,历史文化,30.6508085881,104.0558291205,成都,四川省成都市武侯区武侯祠大街231号,330700,028-85552397,8:00-18:00,Y,Y
杜甫草堂,历史文化, 31.0920160407,105.0896861909,成都,成都市青羊区青华路37号,330701,028-61967340,7:30-19:00,Y,N
青羊宫,历史文化,30.6662369821,104.0476838849,成都,成都市青羊区一环路西二段9号,330702,028-87766584,8:00-18:00,Y,N
文殊院,历史文化,30.6786405686,104.0745560806,成都,成都市青羊区文殊院街66号,330703,028-86950669,9:00-17:00,Y,N
青城山,自然风光,30.8963865757,103.6465049204,都江堰市,四川省都江堰市青城山镇,330704,028-87238104,8:30-17:30,Y,Y
都江堰,自然风光,30.9944492990,103.6534698156,都江堰市,四川省都江堰市公园路,330705,028-87120836,8:30-17:30,Y,N
